dig,07'18",7'19",br,0
spike,07'19",07'21",br,1
dig,07'21",07'22",tr,0
serve,07'42",07'43",bl,0
dig,07'43",07'44",tr,0
dig,07'44",07'46",tl,0
spike,07'46",07'47",tr,1
block,07'46",07'47",br,0
serve,08'05",08'06",tl,0
dig,08'06",08'07",br,0
pass,08'07",08'09",bl,0
spike,08'09",08'10",br,0
block,08'09",08'10",tl,1
serve,09'07",09'08",tl,0
dig,09'08",09'09",bl,0
pass,09'09",09'11",br,0
spike,09'11",09'12",bl,1
block,09'11",09'12",tl,0
serve,09'35",09'36",br,0
dig,09'36",09'37",tr,0
dig,09'37",09'38",tl,0
spike,09'38",09'40",tr,1
block,09'38",09'40",br,0
serve,10'06",10'07",bl,0
serve,11'40",11'41",bl,1
dig,11'41",11'42",tr,0
serve,11'59",12'00",bl,1
dig,12'00",12'01",tr,0
serve,13'12",13'13",bl,0
dig,13'13",13'14",tr,0
pass,13'14",13'16",tl,0
spike,13'16",13'17",tr,0
block,13'16",13'17",br,0
serve,13'39",13'40",bl,0
dig,13'40",13'41",tr,0
dig,13'41",13'43",tl,0
spike,13'43",13'44",tr,1
block,13'43",13'44",br,0
serve,14'02",14'03",tl,0
dig,14'03",14'04",bl,0
dig,14'04",14'05",br,0
spike,14'05",14'07",bl,0
block,14'05",14'07",tl,0
dig,14'07",14'08",tr,0
dig,14'08",14'09",tl,0
dig,14'09",14'10",bl,0
spike,14'10",14'12",br,1
block,14'10",14'12",tl,0
serve,14'40",14'41",tl,0
dig,14'41",14'42",bl,0
pass,14'42",14'43",br,0
spike,14'43",14'45",bl,0
block,14'43",14'45",tl,0
dig,14'45",14'46",br,0
dig,14'46",14'48",bl,0
dig,14'48",14'49",bl,0
dig,14'49",14'50",tl,0
dig,14'50",14'52",br,0
spike,14'52",14'53",bl,0
block,14'52",14'53",tl,0
dig,14'53",14'54",br,0
spike,14'54",14'55",bl,0
block,14'54",14'55",tr,0
pass,14'55",14'56",tl,0
dig,14'56",14'57",tr,0
spike,14'57",14'58",tl,1
block,14'57",14'58",bl,0
serve,15'22",15'23",tl,0
dig,15'23",15'24",br,0
pass,15'24",15'26",bl,0
spike,15'26",15'27",br,1
block,15'26",15'27",tr,0
serve,15'47",15'48",bl,0
dig,15'48",15'49",tr,0
dig,15'49",15'50",br,0
dig,15'50",15'52",bl,0
spike,15'52",15'53",br,1
block,15'52",15'53",tr,0
serve,16'12",16'13",br,0
dig,16'13",16'14",tr,0
dig,16'14",16'15",tl,0
spike,16'15",16'17",tr,0
block,16'15",16'17",br,0
dig,16'17",16'18",bl,0
dig,16'18",16'19",br,0
spike,16'19",16'20",bl,0
dig,16'20",16'21",tr,0
spike,16'21",16'23",tl,1
serve,16'44",16'45",br,0
serve,17'46",17'47",bl,0
dig,17'47",17'48",tr,0
pass,17'48",17'50",tl,0
spike,17'50",17'51",tr,1
block,17'50",17'51",br,0
serve,18'10",18'11",tr,0
dig,18'11",18'12",br,0
dig,18'12",18'14",bl,0
spike,18'14",18'15",br,1
block,18'14",18'15",tr,0
serve,18'35",18'36",br,0
dig,18'36",18'37",tr,0
pass,18'37",18'39",tl,0
spike,18'39",18'40",tr,1
block,18'39",18'40",br,0
dig,18'40",18'41",bl,0
serve,18'59",19'00",tl,0
serve,19'17",19'18",bl,0
dig,19'18",19'19",tr,0
pass,19'19",19'20",tl,0
dig,19'20",19'22",tr,0
dig,19'22",19'23",br,0
dig,19'23",19'25",bl,0
spike,19'25",19'26",br,0
block,19'25",19'26",tr,0
dig,19'26",19'27",tl,0
dig,19'27",19'29",tr,0
spike,19'29",19'31",tl,0
dig,19'31",19'32",bl,0
dig,19'32",19'33",br,0
dig,19'33",19'34",bl,0
dig,19'34",19'36",tl,0
pass,19'36",19'37",tr,0
spike,19'37",19'39",tl,0
block,19'37",19'39",bl,0
dig,19'39",19'40",br,0
dig,19'40",19'41",bl,0
dig,19'41",19'42",tl,0
pass,19'42",19'45",tr,0
spike,19'45",19'46",bl,1
block,19'45",19'46",tl,0
serve,20'19",20'20",tl,0
dig,20'20",20'21",br,0
pass,20'21",20'23",bl,0
spike,20'23",20'24",br,1
block,20'23",20'24",tr,0
serve,20'41",20'42",br,0
dig,20'42",20'43",tr,0
dig,20'43",20'44",tl,0
spike,20'44",20'47",tr,0
block,20'44",20'47",br,0
dig,20'47",20'48",bl,0
dig,20'48",20'49",tr,0
dig,20'49",20'50",tl,0
spike,20'50",20'51",tr,1
block,20'50",20'51",br,0
serve,21'14",21'15",tl,0
dig,21'15",21'16",br,0
pass,21'16",21'17",bl,0
spike,21'17",21'18",bl,1
block,21'17",21'18",tl,0
serve,21'36",21'37",br,0
dig,21'37",21'38",tl,0
dig,21'38",21'39",tr,0
spike,21'39",21'42",tl,1
block,21'39",21'42",bl,0
serve,22'04",22'05",tr,0
dig,22'05",22'06",bl,0
dig,22'06",22'08",br,0
spike,22'08",22'09",bl,1
block,22'08",22'09",tr,0
serve,22'37",22'38",tr,0
dig,22'38",22'39",bl,0
dig,22'39",22'40",br,0
spike,22'40",22'42",bl,0
block,22'40",22'42",tl,0
dig,22'42",22'43",tl,0
dig,22'43",22'44",tr,0
serve,23'05",23'06",br,0
dig,23'06",23'07",tr,0
pass,23'07",23'08",tl,0
spike,23'08",23'10',tr,1
block,23'08",23'10',br,0
serve,23'27",23'28",tl,0
dig,23'28",23'29",bl,0
dig,23'29",23'30",br,0
spike,23'30",23'32",bl,1
block,23'30",23'32",tl,0
dig,23'32",23'33",tr,0
serve,23'55",23'56",bl,0
dig,23'56",23'57",tr,0
dig,23'57",23'58",tl,0
spike,23'58",24'00",tr,1
block,23'58",24'00",br,0
pass,24'00",24'01",bl,0
serve,24'20",24'21",tl,0
dig,24'21",24'22",bl,0
dig,24'22",24'24",br,0
spike,24'24",24'25",bl,1
block,24'24",24'25",tl,0
serve,24'53",24'54",tl,0
serve,25'42",25'43",bl,0
dig,25'43",25'44",tl,0
dig,25'44",25'45",tl,0
spike,25'45",25'47",tr,1
block,25'45",25'47",br,0
