name,start,end,position,score,,,,,,,,,,,,,,,,,,,,
block,18'07",18'08",tr,0,,,,,,,,,,,,,,,,,,,,
serve,19'14",19'15",tl,0,,,,,,,,,,,,,,,,,,,,
dig,19'15",19'16",bl,0,,,,,,,,,,,,,,,,,,,,
pass,19'16",19'17",br,0,,,,,,,,,,,,,,,,,,,,
spike,19'17",19'18",bl,0,,,,,,,,,,,,,,,,,,,,
dig,19'18",19'19",tr,0,,,,,,,,,,,,,,,,,,,,
dig,19'19",19'20",tl,0,,,,,,,,,,,,,,,,,,,,
spike,19'20",19'21",tr,0,,,,,,,,,,,,,,,,,,,,
serve,19'45",19'46",tl,0,,,,,,,,,,,,,,,,,,,,
dig,19'46",19'47",br,0,,,,,,,,,,,,,,,,,,,,
dig,19'47",19'48",tl,0,,,,,,,,,,,,,,,,,,,,
pass,19'48",19'49",tr,0,,,,,,,,,,,,,,,,,,,,
spike,19'49",19'50",tl,1,,,,,,,,,,,,,,,,,,,,
serve,20'14",20'15",tl,0,,,,,,,,,,,,,,,,,,,,
dig,20'15",20'16",bl,0,,,,,,,,,,,,,,,,,,,,
spike,20'16",20'17",br,0,,,,,,,,,,,,,,,,,,,,
block,20'17",20'18",tl,0,,,,,,,,,,,,,,,,,,,,
serve,20'42",20'43",br,0,,,,,,,,,,,,,,,,,,,,
dig,20'43",20'44",tl,0,,,,,,,,,,,,,,,,,,,,
pass,20'44",20'45",tr,0,,,,,,,,,,,,,,,,,,,,
spike,20'45",20'46",tl,0,,,,,,,,,,,,,,,,,,,,
block,20'46",20'47",br,0,,,,,,,,,,,,,,,,,,,,
serve,21'15",21'16",bl,0,,,,,,,,,,,,,,,,,,,,
dig,21'16",21'17",tl,0,,,,,,,,,,,,,,,,,,,,
pass,21'17",21'18",tr,0,,,,,,,,,,,,,,,,,,,,
block,21'18",21'19",br,0,,,,,,,,,,,,,,,,,,,,
serve,21'44",21'45",tl,0,,,,,,,,,,,,,,,,,,,,
dig,21'45",21'46",br,0,,,,,,,,,,,,,,,,,,,,
dig,21'46",21'47",bl,0,,,,,,,,,,,,,,,,,,,,
spike,21'47",21'48",br,0,,,,,,,,,,,,,,,,,,,,
block,21'48"52,21'49",tr,0,,,,,,,,,,,,,,,,,,,,
serve,22'14",22'15",br,0,,,,,,,,,,,,,,,,,,,,
dig,22'15",22'16",tl,0,,,,,,,,,,,,,,,,,,,,
spike,22'16",22'17',tr,0,,,,,,,,,,,,,,,,,,,,
serve,22'40",22'41",tl,0,,,,,,,,,,,,,,,,,,,,
dig,22'41",22'42",bl,0,,,,,,,,,,,,,,,,,,,,
dig,22'42",22'43",br,0,,,,,,,,,,,,,,,,,,,,
spike,22'43",22'44",bl,0,,,,,,,,,,,,,,,,,,,,
block,22'43",22'45",tl,0,,,,,,,,,,,,,,,,,,,,
serve,23'04",23'05",br,0,,,,,,,,,,,,,,,,,,,,
serve,23'41",23'42",br,0,,,,,,,,,,,,,,,,,,,,
dig,23'42",23'43",tr,0,,,,,,,,,,,,,,,,,,,,
pass,23'43",23'44",tl,0,,,,,,,,,,,,,,,,,,,,
spike,23'44",23'45",tr,0,,,,,,,,,,,,,,,,,,,,
block,23'45",23'46",br,0,,,,,,,,,,,,,,,,,,,,
serve,24'07",24'08",tl,0,,,,,,,,,,,,,,,,,,,,
dig,24'08",24'09",br,0,,,,,,,,,,,,,,,,,,,,
spike,24'09",24'10",bl,0,,,,,,,,,,,,,,,,,,,,
block,24'10",24'11",tl,1,,,,,,,,,,,,,,,,,,,,
serve,24'33",24'34",tl,0,,,,,,,,,,,,,,,,,,,,
dig,24'34",24'35",br,0,,,,,,,,,,,,,,,,,,,,
bpa,24'35",24'36",bl,0,,,,,,,,,,,,,,,,,,,,
spike,24'36",24'37",br,0,,,,,,,,,,,,,,,,,,,,
block,24'37",24'38",tr,1,,,,,,,,,,,,,,,,,,,,
