name,start,end,position,score,num_frames,start_frame,end_frame,next_x1,next_y1,next_x2,next_y2,target_x,target_y,target_distance,pose,height,etc,pdistance,pspeed,bspeed,grade
block,10'30",10'31",tl,0,,,,,,,,,,,,,,,,,
serve,11'55",11'56",bl,0,,,,,,,,,,,,,,,,,
dig,11'57",11'58",tr,0,,,,,,,,,,,,,,,,,
pass,11'58",11'59",tl,0,,,,,,,,,,,,,,,,,
spike,11'59",12'00",tr,0,,,,,,,,,,,,,,,,,
block,11'59",12'00",bl,0,,,,,,,,,,,,,,,,,
dig,12'00",12'01",tl,0,,,,,,,,,,,,,,,,,
dig,12'01",12'02",tr,0,,,,,,,,,,,,,,,,,
spike,12'02",12'03",tl,1,,,,,,,,,,,,,,,,,
block,12'02",12'03",bl,0,,,,,,,,,,,,,,,,,
serve,12'24",12'25",tr,0,,,,,,,,,,,,,,,,,
dig,12'25",12'26",bl,0,,,,,,,,,,,,,,,,,
dig,12'28",12'29",br,0,,,,,,,,,,,,,,,,,
spike,12'29",12'30",bl,1,,,,,,,,,,,,,,,,,
block,12'29",12'30",tl,0,,,,,,,,,,,,,,,,,
serve,12'49",12'50",bl,0,,,,,,,,,,,,,,,,,
serve,13'08",13'10",tl,0,,,,,,,,,,,,,,,,,
dig,13'11",13'12",bl,0,,,,,,,,,,,,,,,,,
dig,13'13",13'14",br,0,,,,,,,,,,,,,,,,,
spike,13'14",13'15",bl,1,,,,,,,,,,,,,,,,,
block,13'14",13'15",tl,0,,,,,,,,,,,,,,,,,
serve,13'39",13'41",tl,0,,,,,,,,,,,,,,,,,
dig,13'41",13'42",bl,0,,,,,,,,,,,,,,,,,
dig,13'42",13'43",br,0,,,,,,,,,,,,,,,,,
spike,13'44",13'45",bl,1,,,,,,,,,,,,,,,,,
block,13'44",13'45",tl,0,,,,,,,,,,,,,,,,,
serve,14'02",14'04",tr,0,,,,,,,,,,,,,,,,,
dig,14'04,14'05",tr,0,,,,,,,,,,,,,,,,,
pass,14'05",14'06",tl,0,,,,,,,,,,,,,,,,,
spike,14'07",14'08",tr,1,,,,,,,,,,,,,,,,,
block,14'07",14'08",br,0,,,,,,,,,,,,,,,,,
serve,14'24",14'25",tl,0,,,,,,,,,,,,,,,,,
dig,14'25",14'26",bl,0,,,,,,,,,,,,,,,,,
dig,14'28",14'29",br,0,,,,,,,,,,,,,,,,,
spike,14'29",14'30",bl,0,,,,,,,,,,,,,,,,,
block,14'29",14'30",tl,1,,,,,,,,,,,,,,,,,
serve,15'32",15'33",bl,0,,,,,,,,,,,,,,,,,
dig,15'34",15'35",tl,0,,,,,,,,,,,,,,,,,
pass,15'35",15'36",tr,0,,,,,,,,,,,,,,,,,
spike,15'36",15'37",tl,0,,,,,,,,,,,,,,,,,
block,15'36",15'37",bl,0,,,,,,,,,,,,,,,,,
serve,15'57",15'58",bl,0,,,,,,,,,,,,,,,,,
serve,16'13",16'14",tr,0,,,,,,,,,,,,,,,,,
dig,16'14",16'15",bl,0,,,,,,,,,,,,,,,,,
spike,16'15",16'16",br,1,,,,,,,,,,,,,,,,,
block,16'15",16'16",tl,0,,,,,,,,,,,,,,,,,
serve,16'34",16'35",br,0,,,,,,,,,,,,,,,,,
dig,16'36",16'37",tr,0,,,,,,,,,,,,,,,,,
dig,16'38",16'39",tl,0,,,,,,,,,,,,,,,,,
spike,16'39",16'40",tr,0,,,,,,,,,,,,,,,,,
block,16'39",16'40",br,0,,,,,,,,,,,,,,,,,
dig,16'40",16'41",bl,0,,,,,,,,,,,,,,,,,
spike,16'41",16'42",tl,0,,,,,,,,,,,,,,,,,
block,16'41",16'42",br,0,,,,,,,,,,,,,,,,,
dig,16'42",16'43",br,0,,,,,,,,,,,,,,,,,
spike,16'43",16'44,bl,1,,,,,,,,,,,,,,,,,
block,16'43",16'44",tl,0,,,,,,,,,,,,,,,,,
serve,17'16",17'17",tr,0,,,,,,,,,,,,,,,,,
dig,17'17",17'18",br,0,,,,,,,,,,,,,,,,,
pass,17'19",17'20",bl,0,,,,,,,,,,,,,,,,,
spike,17'21",17'22",br,1,,,,,,,,,,,,,,,,,
block,17'21",17'22",tr,0,,,,,,,,,,,,,,,,,
serve  ,17'37",17'38",bl,0,,,,,,,,,,,,,,,,,
dig,17'38",17'39",tr,0,,,,,,,,,,,,,,,,,
dig,17'40",17'41",tl,0,,,,,,,,,,,,,,,,,
spike,17'42",17'43",tr,0,,,,,,,,,,,,,,,,,
block,17'42",17'43",br,0,,,,,,,,,,,,,,,,,
dig,17'43",17'44",br,0,,,,,,,,,,,,,,,,,
dig,17'44",17'45",bl,0,,,,,,,,,,,,,,,,,
spike,17'45",17'46",br,0,,,,,,,,,,,,,,,,,
block,17'45",17'46",tr,0,,,,,,,,,,,,,,,,,
dig,17'46",17'47",tr,0,,,,,,,,,,,,,,,,,
dig,17'48",17'49",tl,0,,,,,,,,,,,,,,,,,
spike,17'49",17'50",tr,1,,,,,,,,,,,,,,,,,
block,17'49",17'50",br,0,,,,,,,,,,,,,,,,,
pass,17'50",17'51",bl,0,,,,,,,,,,,,,,,,,
dig,17'51",17'52",br,0,,,,,,,,,,,,,,,,,
serve,18'18",18'19",tr,0,,,,,,,,,,,,,,,,,
dig,18'20",18'21",br,0,,,,,,,,,,,,,,,,,
pass,18'21",18'22",bl,0,,,,,,,,,,,,,,,,,
spike,18'23",18'24",br,0,,,,,,,,,,,,,,,,,
block,18'23",18'24",tr,0,,,,,,,,,,,,,,,,,
pass,18'24",18'25",tl,0,,,,,,,,,,,,,,,,,
dig,18'25",18'26",tr,0,,,,,,,,,,,,,,,,,
spike,18'26",18'27",tl,0,,,,,,,,,,,,,,,,,
block,18'26",18'27",bl,0,,,,,,,,,,,,,,,,,
dig,18'27",18'28",br,0,,,,,,,,,,,,,,,,,
dig,18'28",18'29",br,0,,,,,,,,,,,,,,,,,
spike,18'29",18'30",bl,1,,,,,,,,,,,,,,,,,
block,18'29",18'30",tl,0,,,,,,,,,,,,,,,,,
