name,start,end,position,score,start_frame,end_frame,num_frames,next_x1,next_y1,next_x2,next_y2,target_x,target_y,pose,height,target_distance,pdistance,pspeed,bspeed,grade,etc
pass,06'01",06'03",tl,0,,,,,,,,,,,,,,,,,
spike,06'04",06'05",tr,0,,,,,,,,,,,,,,,,,
block,06'04",06'05",br,0,,,,,,,,,,,,,,,,,
serve,06'24",06'26",br,0,,,,,,,,,,,,,,,,,
dig,06'25",06'27",tl,0,,,,,,,,,,,,,,,,,
pass,06'28",06'29",tr,0,,,,,,,,,,,,,,,,,
spike,06'29",06'30",tl,1,,,,,,,,,,,,,,,,,
block,06'29",06'30",bl,0,,,,,,,,,,,,,,,,,
serve,06'52",06'53",tr,0,,,,,,,,,,,,,,,,,
serve,07'08",07'09",bl,0,,,,,,,,,,,,,,,,,
dig,07'10",07'11",tl,0,,,,,,,,,,,,,,,,,
pass,07'11",07'12",tr,0,,,,,,,,,,,,,,,,,
spike,07'13",07'14",tl,1,,,,,,,,,,,,,,,,,
block,07'13",07'14",bl,0,,,,,,,,,,,,,,,,,
serve,07'34",07'36",tl,0,,,,,,,,,,,,,,,,,
dig,07'37",07'38",br,0,,,,,,,,,,,,,,,,,
dig,07'39",07'40",bl,0,,,,,,,,,,,,,,,,,
spike,07'40",07'41",br,1,,,,,,,,,,,,,,,,,
block,07'40",07'41",tr,0,,,,,,,,,,,,,,,,,
serve,07'58",08'00",br,0,,,,,,,,,,,,,,,,,
dig,08'01",08'02",tl,0,,,,,,,,,,,,,,,,,
pass,08'02",08'03",tr,0,,,,,,,,,,,,,,,,,
spike,08'04",08'05",tl,0,,,,,,,,,,,,,,,,,
block,08'04",08'05",bl,0,,,,,,,,,,,,,,,,,
dig,08'05",08'06",br,0,,,,,,,,,,,,,,,,,
pass,08'06",08'07",bl,0,,,,,,,,,,,,,,,,,
spike,08'08",08'09",br,1,,,,,,,,,,,,,,,,,
serve,08'29",08'30",br,0,,,,,,,,,,,,,,,,,
dig,08'31",08'33",tl,0,,,,,,,,,,,,,,,,,
pass,08'33",08'35",tr,0,,,,,,,,,,,,,,,,,
spike,08'36",08'37",tl,1,,,,,,,,,,,,,,,,,
block,08'36",08'37",bl,0,,,,,,,,,,,,,,,,,
serve,09'57",09'59",bl,0,,,,,,,,,,,,,,,,,
dig,09'59",10'00",tr,0,,,,,,,,,,,,,,,,,
pass,10'01",10'02",tl,0,,,,,,,,,,,,,,,,,
spike,10'02",10'03",tr,0,,,,,,,,,,,,,,,,,
block,10'01",10'02",bl,0,,,,,,,,,,,,,,,,,
dig,10'02",10'03",br,0,,,,,,,,,,,,,,,,,
dig,10'04",10'05",br,0,,,,,,,,,,,,,,,,,
spike,10'06",10'07",bl,1,,,,,,,,,,,,,,,,,
dig,10'07",10'08",tr,0,,,,,,,,,,,,,,,,,
serve,10'28",10'29",bl,0,,,,,,,,,,,,,,,,,
dig,10'30",10'31",tr,0,,,,,,,,,,,,,,,,,
spike,10'32",10'33",tl,1,,,,,,,,,,,,,,,,,
block,10'32",10'33",br,0,,,,,,,,,,,,,,,,,
serve,10'53",10'54",tr,0,,,,,,,,,,,,,,,,,
dig,10'55",10'56",br,0,,,,,,,,,,,,,,,,,
pass,10'56",10'57",bl,0,,,,,,,,,,,,,,,,,
spike,10'58",10'59",br,1,,,,,,,,,,,,,,,,,
block,10'58",10'59",tr,0,,,,,,,,,,,,,,,,,
dig,10'59",11'00",tl,0,,,,,,,,,,,,,,,,,
serve,11'17",11'18",br,0,,,,,,,,,,,,,,,,,
dig,11'18",11'20",tr,0,,,,,,,,,,,,,,,,,
pass,11'21",11'22",tl,0,,,,,,,,,,,,,,,,,
spike,11'22",11'23",tr,1,,,,,,,,,,,,,,,,,
block,11'22",11'23",br,0,,,,,,,,,,,,,,,,,
serve,11'41",11'43",tl,0,,,,,,,,,,,,,,,,,
dig,11'43",11'44",bl,0,,,,,,,,,,,,,,,,,
pass,11'45",11'46",bl,0,,,,,,,,,,,,,,,,,
spike,11'47",11'48",br,0,,,,,,,,,,,,,,,,,
block,11'47",11'48",tr,0,,,,,,,,,,,,,,,,,
serve,14'01",14'02",tr,0,,,,,,,,,,,,,,,,,
dig,14'02",14'03",bl,0,,,,,,,,,,,,,,,,,
pass,14'04",14'05",br,0,,,,,,,,,,,,,,,,,
spike,14'06",14'07",bl,0,,,,,,,,,,,,,,,,,
block,14'06",14'07",tl,0,,,,,,,,,,,,,,,,,
dig,14'07",14'08",br,0,,,,,,,,,,,,,,,,,
dig,14'08",14'09",bl,0,,,,,,,,,,,,,,,,,
spike,14'09",14'10",br,0,,,,,,,,,,,,,,,,,
block,14'09",14'10",tr,0,,,,,,,,,,,,,,,,,
dig,14'10",14'11",tl,0,,,,,,,,,,,,,,,,,
pass,14'11",14'12",tr,0,,,,,,,,,,,,,,,,,
spike,14'13",14'14",tl,0,,,,,,,,,,,,,,,,,
block,14'13",14'14",bl,0,,,,,,,,,,,,,,,,,
dig,14'14",14'15",br,0,,,,,,,,,,,,,,,,,
spike,14'15",14'16",bl,0,,,,,,,,,,,,,,,,,
dig,14'16",14'17",tl,0,,,,,,,,,,,,,,,,,
dig,14'17",14'18",tr,0,,,,,,,,,,,,,,,,,
spike,14'18",14'19",tl,1,,,,,,,,,,,,,,,,,
dig,14'19",14'20",bl,0,,,,,,,,,,,,,,,,,
serve,14'46",14'47",tr,0,,,,,,,,,,,,,,,,,
dig,14'47",14'48",bl,0,,,,,,,,,,,,,,,,,
pass,14'48",14'49",br,0,,,,,,,,,,,,,,,,,
dig,14'50",14'52",bl,0,,,,,,,,,,,,,,,,,
dig,14'53",14'54",tl,0,,,,,,,,,,,,,,,,,
dig,14'54",14'55",tr,0,,,,,,,,,,,,,,,,,
spike,14'55",14'56",tl,1,,,,,,,,,,,,,,,,,
block,14'55",14'56",br,0,,,,,,,,,,,,,,,,,
serve,15'31",15'32",br,0,,,,,,,,,,,,,,,,,
dig,15'32",15'33",tr,0,,,,,,,,,,,,,,,,,
pass,15'34",15'35",tl,0,,,,,,,,,,,,,,,,,
spike,15'36",15'37",tr,0,,,,,,,,,,,,,,,,,
block,15'36",15'37",br,0,,,,,,,,,,,,,,,,,
pass,15'37",15'38",tl,0,,,,,,,,,,,,,,,,,
pass,15'38",15'39",tr,0,,,,,,,,,,,,,,,,,
spike,15'39",15'40",tl,0,,,,,,,,,,,,,,,,,
dig,15'40",15'41",bl,0,,,,,,,,,,,,,,,,,
spike,15'42",15'43",br,0,,,,,,,,,,,,,,,,,
serve,16'08",16'09",tr,0,,,,,,,,,,,,,,,,,
dig,16'11",16'12",br,0,,,,,,,,,,,,,,,,,
dig,16'12",16'13",br,0,,,,,,,,,,,,,,,,,
spike,16'13",16'14",br,0,,,,,,,,,,,,,,,,,
block,16'13",16'14",tr,1,,,,,,,,,,,,,,,,,
serve,16'37",16'38",tr,0,,,,,,,,,,,,,,,,,
dig,16'38",16'39",br,0,,,,,,,,,,,,,,,,,
dig,16'40",16'41",bl,0,,,,,,,,,,,,,,,,,
spike,16'42",16'43",br,0,,,,,,,,,,,,,,,,,
block,16'42",16'43",tr,0,,,,,,,,,,,,,,,,,
dig,16'43",16'44",tl,0,,,,,,,,,,,,,,,,,
pass,16'44",16'45",tr,0,,,,,,,,,,,,,,,,,
spike,16'46",16'47",tl,0,,,,,,,,,,,,,,,,,
block,16'46",16'47",bl,0,,,,,,,,,,,,,,,,,
dig,16'47",16'48",bl,0,,,,,,,,,,,,,,,,,
pass,16'48",16'49",br,0,,,,,,,,,,,,,,,,,
spike,16'50",16'51",bl,1,,,,,,,,,,,,,,,,,
serve,17'12",17'13",bl,0,,,,,,,,,,,,,,,,,
dig,17'14",17'15",tr,0,,,,,,,,,,,,,,,,,
pass,17'15",17'16",tr,0,,,,,,,,,,,,,,,,,
spike,17'16",17'17",tl,1,,,,,,,,,,,,,,,,,
block,17'16",17'17",bl,0,,,,,,,,,,,,,,,,,
serve,17'36",17'37",tl,0,,,,,,,,,,,,,,,,,
dig,17'38",17'39",br,0,,,,,,,,,,,,,,,,,
dig,17'39",17'40",bl,0,,,,,,,,,,,,,,,,,
spike,17'40",17'41",br,1,,,,,,,,,,,,,,,,,
block,17'40",17'41",tl,0,,,,,,,,,,,,,,,,,
serve,18'02",18'03",br,0,,,,,,,,,,,,,,,,,
serve,18'18",18'19",tr,0,,,,,,,,,,,,,,,,,
dig,18'20",18'21",br,0,,,,,,,,,,,,,,,,,
pass,18'22",18'23",bl,1,,,,,,,,,,,,,,,,,
block,18'22",18'23",tl,0,,,,,,,,,,,,,,,,,
serve,18'48",18'49",tr,0,,,,,,,,,,,,,,,,,
dig,18'49",18'50",bl,0,,,,,,,,,,,,,,,,,
pass,18'50",18'51",br,0,,,,,,,,,,,,,,,,,
spike,18'52",18'53",bl,0,,,,,,,,,,,,,,,,,
block,18'52",18'53",tl,0,,,,,,,,,,,,,,,,,
dig,18'53",18'54",tr,0,,,,,,,,,,,,,,,,,
pass,18'55",18'56",tl,0,,,,,,,,,,,,,,,,,
spike,18'56",18'57",tr,1,,,,,,,,,,,,,,,,,
block,18'56",18'57",br,0,,,,,,,,,,,,,,,,,
