name,staet,end,position,score
spike,10'02",10'03",tr,0
block,10'03",10'04",br,0
serve,10'23",10'24",tl,0
dig,10'24",10'25",tl,0
pass,10'25",10'26",tr,0
spike,10'26",10'27",tl,0
block,10'27",10'28",bl,1
serve,10'48",10'49",tl,0
dig,10'49",10'50",bl,0
pass,10'50",10'51",br,0
spike,10'51",10'52",bl,0
dig,10'52",10'53",tr,0
pass,10'53",10'54",tl,0
spike,10'54",10'55",tr,0
block,10'55",10'56",br,0
serve,11'22",11'23",br,0
dig,11'23",11'24",tr,0
pass,11'24",11'25",tl,0
spike,11'25",11'26",tr,0
block,11'26,11'27",br,0
serve,11'52",11'53",tl,0
dig,11'53",11'54",bl,0
pass,11'54",11'55",br,0
spike,11'55",11'56",bl,0
serve,12'15",12'16",bl,0
dig,12'16",12'17",tr,0
dig,12'17",12'18",bl,0
pass,12'18",12'19",br,0
spike,12'19",12'20",bl,0
block,12'20",12'21",tl,0
serve,14'21",14'22",tr,0
dig,14'22",14'23",br,0
dig,14'23",14'24",bl,0
spike,14'24",14'25",br,1
serve,14'45",14'46",tr,0
dig,14'46",14'47",bl,0
pass,14'47",14'48",br,0
spike,14'48",14'49",bl,0
dig,14'49",14'50",tl,0
dig,14'50",14'51",tr,0
spike,14'51",14'52",tl,0
block,14'52",14'53",bl,0
serve,15'15",15'16",tr,0
dig,15'16",15'17",br,0
pass,15'17",15'18",bl,0
spike,15'18",15'19",br,0
block,15'19",15'20",tr,0
serve,15'37",15'38",bl,0
dig,15'38",15'39",tr,0
pass,15'39",15'40",tl,0
spike,15'40",15'41",tr,0
block,15'41",15'42",br,0
serve,16'00",16'01",tl,0
dig,16'01",16'02",br,0
serve,16'12",16'13",tl,0
dig,16'13",16'14",bl,0
spike,16'14",16'15",br,0
serve,16'46",16'47",br,0
dig,16'47",16'48",tr,0
pass,16'48",16'49",tl,0
spike,16'49",16'50",tr,0
block,16'50",16'51",br,0
serve,17'21",17'22",bl,0
dig,17'22",17'23",tr,0
spike,17'23",17'24",tl,0
serve,17'39",17'40",tl,0
dig,17'40",17'41",bl,0
pass,17'41",17'42",br,0
spike,17'42",17'43",bl,0
block,17'43",17'44",tl,0
serve,18'03",18'04",br,0
dig,18'04",18'05",tr,0
pass,18'05",18'06",tl,0
spike,18'06",18'07",tr,0
serve,18'28",18'29",tl,0
dig,18'29",18'30",bl,0
pass,18'30",18'31",br,0
spike,18'31",18'33",bl,0
block,18'33",18'34",tl,0
dig,18'34",18'35",tr,0
dig,18'35",18'36",tl,0
spike,18'36",18'37",tr,0
block,18'37",18'38",br,1
serve,20'22",20'23",tl,0
dig,20'23",20'24",bl,0
pass,20'24",20'25",br,0
spike,20'25",20'26",bl,0
block,20'26",20'27",tl,0
dig,20'27",20'28",tl,0
spike,20'28",20'29",tr,0
pass,20'29",20'30",bl,0
pass,20'30",20'31",br,0
spike,20'31",20'32",bl,0
block,20'32",20'33",tl,0
serve,20'55",20'56",bl,0
dig,20'56",20'57",tr,0
dig,20'57",20'58",tl,0
spike,20'58",20'59",tr,0
block,20'59",21'00",br,0
serve,21'19",21'20",tl,0
dig,21'20",21'21",bl,0
pass,21'21",21'22",br,0
spike,21'22",21'23",bl,0
serve,21'52",21'53",tl,0
dig,21'53",21'54",bl,0
pass,21'54",21'55",br,0
spike,21'55",21'56",bl,0
serve,23'23",23'24",tl,0
dig,23'24",23'25",bl,0
dig,23'25",23'26",br,0
dig,23'26",23'27",bl,0
dig,23'27",23'28",tl,0
pass,23'28",23'29",tr,0
spike,23'29",23'30",tl,0
block,23'30",23'31",bl,1
serve,24'00",24'01",tl,0
dig,24'01",24'02",br,0
pass,24'02",24'03",bl,0
spike,24'03",24'04",br,0
serve,24'24",24'25",bl,0
dig,24'25",24'26",tr,0
spike,24'26",24'27",tl,0
serve,24'47",24'48",tl,0
serve,25'06",25'07",tl,0
dig,25'07",25'08",bl,0
pass,25'08",25'09",br,0
spike,25'09",25'10",bl,0
block,25'10",25'11",tl,0
serve,25'29",25'30",br,0
dig,25'30",25'31",tr,0
pass,25'31",25'32",tl,0
spike,25'32",25'33",tr,0
block,25'33",25'34",br,0
serve,25'53",25'54",tl,0
dig,25'54",25'56",bl,0
pass,25'56",25'57",br,0
spike,25'57",25'58",bl,0
block,25'58",25'59",tl,0
dig,25'59",26'00",tr,0
dig,26'00",26'01",tl,0
dig,26'01",26'02",br,0
spike,26'02",26'03",bl,0
block,26'03",26'04",tr,1
serve,26'37",26'38",tr,0
dig,26'38",26'39",br,0
spike,26'39",16'40",bl,0
serve,27'04",27'05",br,0
dig,27'05",27'06",tr,0
pass,27'06",27'07",tl,0
spike,27'07",27'08",trr,0
block,27'08",27'09",bl,0
serve,27'27",27'28",tl,0
dig,27'28",27'29",br,0
pass,27'29",27'30",bl,0
spike,27'30",27'31",br,1
serve,27'49",27'50",br,0
dig,27'50",27'51",tr,0
dig,27'51",27'52",tl,0
spike,27'52",27'53",tr,0
block,27'53",27'54",br,0
serve,28'14",28'15",tr,0
dig,28'15",28'16",bl,0
spike,28'16",28'17",br,0
block,28'17",28'18",tr,0
serve,28'39",28'40",br,0
dig,28'40",28'41",tl,0
pass,28'41",28'42",tr,0
spike,28'42",28'43",tl,0
block,28'43",28'44",bl,0
serve,29'02",29'03",tl,0
dig,29'03",29'04",br,0
pass,29'04",29'05",bl,0
spike,29'05",29'06",br,0
block,29'06",29'07",tr,0
dig,29'07",29'08",tr,0
dig,29'08",29'09",tl,
spike,29'09",29'10",tr,0
dig,29'10",29'11",br,0
pass,29'11",29'12",bl,0
spike,29'12",29'13",br,0
block,29'13",29'14",tr,0
serve,29'50",29'51",tr,0
dig,29'51",29'52",bl,0
dig,29'52",29'53",br,0
spike,29'53",29'54",bl,0
serve,30'22",30'23",bl,0
dig,30'23",30'24",tr,0
spike,30'24",30'25",tl,0
block,30'25",30'26",bl,1
serve,30'46",30'47"",bl,0
dig,30'47",30'48",tr,0
spike,30'48",30'49",tl,0
serve,31'09",31'10",tl,0
dig,31'10",31'11",bl,0
pass,31'11",31'12",br,0
spike,31'12",31'13",bl,0
block,31'13",31'14",tl,1
serve,31'33",31'34",bl,0
dig,31'34",31'35",tr,0
pass,31'35",31'36",tl,0
spike,31'36",31'37",tr,0
block,31'57",31'58",br,0
serve,31'58",31'59",bl,1
serve,31'16",31'17",tl,0
dig,31'17",31'18",bl,0
pass,31'18",31'19",br,0
spike,31'19",31'20",bl,0
block,31'20",31'21",tr,0
